url,vendor,title,sku,price,in_stock,stock_qty,scraped_at
https://www.flyrobo.in/arduino-nano-r3-compatible-board-unsoldered,flyrobo,Arduino nano R3 Compatible Board Unsoldered,,198.0,True,,2026-04-05 21:43:45
https://www.flyrobo.in/arduino-uno-r3-compatible-board-plus-cable-for-arduino-uno,flyrobo,Arduino MEGA R3 ATmega2560-16AU Development Compatible Board,,1153.0,True,,2026-04-05 21:43:45
https://www.flyrobo.in/arduino-nano-r3-compatible-board-with-ch340-chip-soldered,flyrobo,Arduino Nano R3 Compatible Board with CH340 chip SOLDERED,,194.0,True,,2026-04-05 21:43:45
https://www.flyrobo.in/l293d_motor_drive_module,flyrobo,L293D Motor Drive Module,,83.0,True,,2026-04-05 21:43:45
https://www.flyrobo.in/mini_solderless_breadboard__170_tie_points_for_arduino_diy_project,flyrobo,"Mini Solderless Breadboard -170 Tie Points for Arduino, DIY Project",,15.0,True,,2026-04-05 21:43:46
https://www.flyrobo.in/l293d_motor_driver_shield_for_arduino,flyrobo,L293D Motor Driver Shield For Arduino,,132.0,True,,2026-04-05 21:43:46
https://www.flyrobo.in/high_quality_solderless_breadboard_with_430_tie_point_for_arduino,flyrobo,Breadboard GL-12 840 Tie Points Solderless DIY PROJECT CIRCUIT,,56.0,True,,2026-04-05 21:43:46
https://www.flyrobo.in/arduino-uno-r3-compatible-board-plus-cable-for-arduino-uno-1,flyrobo,Arduino Uno R3 Compatible board + Cable for Arduino Uno,,484.0,True,,2026-04-05 21:43:46
https://www.flyrobo.in/esp8266_esp_1_wifi_transceiver_wireless_module,flyrobo,ESP8266 ESP-01 WIFI Transceiver Wireless Module,,128.0,True,,2026-04-05 21:43:52
https://www.flyrobo.in/am2302_dht22_temperature_and_humidity_sensor_module,flyrobo,AM2302 DHT22 Temperature And Humidity Sensor Module,,124.0,True,,2026-04-05 21:43:53
https://www.flyrobo.in/mpu_6050_6dof_3_axis_gyro_with_accelerometer_sensor_module,flyrobo,MPU-6050 6DOF 3 Axis Gyro With Accelerometer Sensor Module,,172.0,True,,2026-04-05 21:43:54
https://www.flyrobo.in/433mhz_rf_transmitter_with_receiver_kit_for_arduino_arm_mcu,flyrobo,433Mhz RF Transmitter With Receiver Kit For Arduino ARM MCU Wireless,,84.0,True,,2026-04-05 21:43:54
https://www.flyrobo.in/16_channel_pwm_servo_motor_driver_i2c_module,flyrobo,16 Channel PWM Servo Motor Driver I2C Module,,225.0,True,,2026-04-05 21:43:54
https://www.flyrobo.in/smart_robot_car_tyres_wheels_for_arduino_bo_gear_motor,flyrobo,Smart Robot Car Wheels For Arduino BO Gear Motor Chassis,,28.0,True,,2026-04-05 21:43:55
https://www.flyrobo.in/10cm_male_to_male_jumper_cable_wire_for_arduino,flyrobo,20cm Male To Male Jumper Cable Wire For Arduino - 40pcs,,53.0,True,,2026-04-05 21:43:55
https://www.flyrobo.in/mg90s_metal_gear_micro_servo_for_rc_model,flyrobo,MG90S Metal Gear 180 degrees Micro Servo Motor For RC Model,,246.0,True,,2026-04-05 21:43:57
https://www.flyrobo.in/apm_pixhawk_power_module_with_xt60,flyrobo,APM Pixhawk Power Module with XT60,,570.0,True,,2026-04-05 21:43:58
https://www.flyrobo.in/12_x_18cm_pcb_prototyping_printed_circuit,flyrobo,7 x 5cm PCB Prototyping Printed Circuit Board Prototype Breadboard,,31.0,True,,2026-04-05 21:43:59
https://www.flyrobo.in/laser_transmitter_module_for_arduino,flyrobo,Laser Transmitter Module For Arduino,,30.0,True,,2026-04-05 21:44:03
https://www.flyrobo.in/5v_ky-040_rotary_encoder_module_for_arduino,flyrobo,5V KY-040 Rotary Encoder Module For Arduino,,49.0,True,,2026-04-05 21:44:04
https://www.flyrobo.in/3.5-5.5v_standard_passive_buzzer_module_for_arduino,flyrobo,3.5-5.5V Standard Active Buzzer Module For Arduino,,34.0,True,,2026-04-05 21:44:04
https://www.flyrobo.in/openpilot_cc3d_evo_flight_controller_stm32,flyrobo,OpenPilot CC3D EVO Flight Controller STM32 for RC Drone FPV Racing,,1813.0,False,,2026-04-05 21:44:04
https://www.flyrobo.in/gps_folding_antenna_metal_holder,flyrobo,GPS Folding stand Antenna Metal Holder,,234.0,True,,2026-04-05 21:44:05
https://www.flyrobo.in/dji-f450-quadcopter-frame-kit-with-integrated-pcb,flyrobo,F450 Quadcopter drone frame Kit with integrated PCB,,722.0,True,,2026-04-05 21:44:06
https://www.flyrobo.in/flysky_fs-i6s_2.4g_10ch_afhds_2a_transmitter,flyrobo,Flysky FS-i6S 2.4G 10CH AFHDS Transmitter With FS-iA10B 10CH Receiver,,7611.0,True,,2026-04-05 21:44:06
https://www.flyrobo.in/xt60_connector_2_female_to_1_males,flyrobo,XT60 Connector 2 Female to 1 Males Parallel Connection Cable,,215.0,False,,2026-04-05 21:44:09
https://www.flyrobo.in/imax_b6-ac_b6ac_lipo_nimh_3s_rc,flyrobo,iMAX B6-AC B6AC Lipo NiMH RC Battery Balance Charger,,2591.0,True,,2026-04-05 21:44:12
https://www.flyrobo.in/simonk_30a_2-3s_brushless_esc_for_rc,flyrobo,SimonK 30A 2-3S Brushless ESC For RC Model (High Quality),,355.0,True,,2026-04-05 21:44:12
https://www.flyrobo.in/xt60_parallel_connector_1_female_2_male,flyrobo,XT60 Parallel Connector 1 Female 2 Male,,256.0,False,,2026-04-05 21:44:12
https://www.flyrobo.in/1_pair_fireproof_t_plug_connector,flyrobo,1 Pair T Plug dean Connector For RC ESC,,27.0,True,,2026-04-05 21:44:13
https://www.flyrobo.in/dc_3_6v_bo_gear_motor_for_arduino,flyrobo,200RPM DC 3-6V Dual Shaft BO Gear Motor For Arduino Smart Car,,57.0,True,,2026-04-05 21:44:15
https://www.flyrobo.in/l293d-stepper-motor-driver-ic-chip,flyrobo,L293D Stepper Motor Driver IC Chip,,26.0,True,,2026-04-05 21:44:16
https://www.flyrobo.in/solar-panel-6v,flyrobo,Solar cell Panel  6V-100mA,,161.0,True,,2026-04-05 21:44:17
https://www.flyrobo.in/10rpm-12v-dc-metal-geared-motor,flyrobo,10RPM 12V DC Metal Geared Motor,,207.0,True,,2026-04-05 21:44:18
https://www.flyrobo.in/dc_12v_1000rpm_geared_motor,flyrobo,DC 12V 1000RPM Metal Geared Motor,,157.0,True,,2026-04-05 21:44:20
https://www.flyrobo.in/color-sensor-tcs230-tcs3200-color-recognition-sensor-detector-module,flyrobo,Color sensor TCS230 TCS3200 Color Recognition Sensor Detector Module,,415.0,False,,2026-04-05 21:44:20
https://www.flyrobo.in/anti-vibration-set-shock-absorber,flyrobo,3D printed Shock Absorber Anti-vibration Set for APM Pixhawk,,269.0,False,,2026-04-05 21:44:22
https://www.flyrobo.in/16_teeth_freewheel_sprocket_with_connector,flyrobo,16 Teeth Freewheel Sprocket,,179.0,False,,2026-04-05 21:44:23
https://www.flyrobo.in/my1016_250w_24v_dc_motor,flyrobo,MY1016 250W 24V DC Motor for E-Bike | Electric bicycle - Original Unite,,2103.0,False,,2026-04-05 21:44:24
https://www.flyrobo.in/my1016-350w-motor-plus-motor-controller-plus-twist-throttle-for-diy-electric-bicycle-kit,flyrobo,MY1016 350W Motor + Motor Controller + Twist throttle for DIY ELECTRIC BICYCLE KIT,,5193.0,False,,2026-04-05 21:44:24
https://www.flyrobo.in/imax-b6-dc-degital-lipo-balance-charger-with-cables,flyrobo,iMAX B6 DC B6DC Lipo NiMH RC Battery Balance Charger,,1786.0,True,,2026-04-05 21:44:25
https://www.flyrobo.in/arduino-uno-r3-smd-compatible-board-plus-cable-for-arduino-uno,flyrobo,Arduino Uno R3 SMD Compatible Board + Cable for Arduino Uno,,377.0,True,,2026-04-05 21:44:26
https://www.flyrobo.in/flysky-fs-ct6b-2.4g-6ch-radio-set-system-with-rx-fs-r6b-receiver,flyrobo,FlySky FS-CT6B 2.4G 6CH Radio Set System with RX FS-R6B receiver.,,3464.0,True,,2026-04-05 21:44:30
https://www.flyrobo.in/iic_i2c_backlight_lcd_display_module_for_arduino,flyrobo,IIC/I2C  Backlight LCD Display Module For Arduino,,285.0,False,,2026-04-05 21:44:30
https://www.flyrobo.in/oled-0-96-inch-i2c-display-module,flyrobo,OLED 0.96 inch 4 pin I2C 128 X 64 DISPLAY MODULE - Blue,,215.0,True,,2026-04-05 21:44:30
https://www.flyrobo.in/high-torque-side-shft-dc-geared-motor-100rpm,flyrobo,100RPM High Torque Side Shaft DC Metal Geared Johnson Motor,,462.0,False,,2026-04-05 21:44:31
https://www.flyrobo.in/high-torque-side-shaft-dc-geared-motor-600rpm,flyrobo,500RPM High Torque Side Shaft DC Metal Geared Johnson Motor,,507.0,False,,2026-04-05 21:44:32
https://www.flyrobo.in/advance-metal-chassis-for-robots-white,flyrobo,Advance Metal Chassis For Robots White,,197.0,False,,2026-04-05 21:44:32
https://www.flyrobo.in/robot-wheel-11-x-2-cm-for-motors,flyrobo,Robot Wheel 11 x 2 cm For Motors,,59.0,True,,2026-04-05 21:44:33
https://www.flyrobo.in/blue-led-5mm-pack-100-light-emitting-diod,flyrobo,Blue LED 5mm Pack Of 100  (Light Emitting Diod),,107.0,True,,2026-04-05 21:44:36
https://www.flyrobo.in/robotic-switch-box-with-2-dpdt-switch,flyrobo,Robotic Switch Box with 2 DPDT Switch,,81.0,True,,2026-04-05 21:44:36
https://www.flyrobo.in/center-shaft-gear-motor-l-clamp,flyrobo,Center Shaft Gear Motor L Clamp,,76.0,True,,2026-04-05 21:44:37
https://www.flyrobo.in/green-led-5mm-pack-100,flyrobo,Green LED 5mm Pack Of 100  (Light Emitting Diod),,107.0,True,,2026-04-05 21:44:39
https://www.flyrobo.in/l293d-motor-driver-stepper-motor-driver-module-for-arduino-and-diy-projects,flyrobo,L293D Motor Driver / Stepper Motor Driver Module for ARDUINO and DIY PROJECTS,,93.0,True,,2026-04-05 21:44:40
https://www.flyrobo.in/usb-cable-for-arduino-nano-usb-2.0-usb-2.0-mini-b-30cm,flyrobo,USB Cable for Arduino Nano - USB 2.0 A to USB 2.0 Mini B,,27.0,True,,2026-04-05 21:44:42
https://www.flyrobo.in/micro-usb-cable-usb-2.0-male-micro-b-male,flyrobo,Micro USB Cable | USB 2.0 A Male to Micro-B Male,,38.0,True,,2026-04-05 21:44:43
https://www.flyrobo.in/1000kv-a2212-brushless-motor-with-simonk-30a-esc-for-rc-airplane-quadcopter-multirotor,flyrobo,1000kv A2212 Brushless Motor with Simonk 30A ESC For RC Airplane / Quadcopter / Multirotor - FlyRobo,,740.0,True,,2026-04-05 21:44:44
https://www.flyrobo.in/1000kv-a2212-brushless-motor-with-30a-esc-for-rc-airplane-quadcopter-multirotor,flyrobo,1000kv A2212 Brushless Motor with 30A ESC For RC Airplane / Quadcopter / Multirotor,,823.0,True,,2026-04-05 21:44:44
https://www.flyrobo.in/wanhao-blue-pla-1.75-mm-1-kg-filament-for-3d-printer-premium-quality-filament-1,flyrobo,WANHAO Blue PLA 1.75 mm 1 Kg Filament For 3D Printer – Premium Quality Filament,,1457.0,False,,2026-04-05 21:44:44
https://www.flyrobo.in/wanhao-orange-pla-1.75-mm-1-kg-filament-for-3d-printer-premium-quality-filament-1-1,flyrobo,WANHAO Orange PLA 1.75 mm 1 Kg Filament For 3D Printer – Premium Quality Filament,,1457.0,False,,2026-04-05 21:44:45
https://www.flyrobo.in/wanhao-red-pla-1.75-mm-1-kg-filament-for-3d-printer-premium-quality-filament-1,flyrobo,WANHAO Black PLA 1.75 mm 1 Kg Filament For 3D Printer – Premium Quality Filament,,1457.0,False,,2026-04-05 21:44:46
https://www.flyrobo.in/castor-wheel-small,flyrobo,Castor Wheel Small - Metal,,19.0,True,,2026-04-05 21:44:47
https://www.flyrobo.in/12v-10a-smps-industrial-power-supply-for-industrial-project-and-3d-printer,flyrobo,12V 10A SMPS Industrial Power Supply for industrial project and 3D Printer,,852.0,False,,2026-04-05 21:44:51
https://www.flyrobo.in/timing-belt-gt2-2mm-pitch-1meter,flyrobo,Timing Belt GT2 - 2MM Pitch- Width 6mm - 1 Meter,,81.0,True,,2026-04-05 21:44:51
https://www.flyrobo.in/mk8-extruder-1.75mm-0.4mm-nozzle-assembled-print-head-for-3d-printer,flyrobo,MK8 Extruder 1.75mm 0.4mm Nozzle Assembled Print Head For 3D Printer,,1877.0,False,,2026-04-05 21:44:52
https://www.flyrobo.in/f450-quadcopter-frame-board-centre-plate,flyrobo,F450 Quadcopter Frame Board Centre Plates - FlyRobo,,256.0,True,,2026-04-05 21:44:53
