url,vendor,title,sku,price,in_stock,stock_qty,scraped_at
https://robokits.co.in/mechanical-parts/nut-bolts-standoffs/mushroom-head-bolts/m2-x-6-ss-304-allen-socket-head-screws,robokits,M2 X 6 SS 304 allen socket head screws,RKI-2908,11.8,True,,2026-04-05 16:31:38
https://robokits.co.in/batteries-chargers/plugs-and-connectors/amass-xt60h-female-connector-with-housing-original,robokits,Amass XT60H Female Connector with Housing Original (XT60H-F) AMASS XT60H FEMALE CONNECTOR WITH HOUSING,RKI-2849,29.5,True,,2026-04-05 16:31:38
https://robokits.co.in/iot-wireless-solutions/wireless-serial-modules/portapack-h2-hackrf-one-5-antennas-data-cable-sdr-software-defined-3.2inch-screen-1mhz-6ghz-assembled,robokits,PortaPack H2 + HackRF One + 5 Antennas + Data Cable SDR Software Defined 3.2inch Screen 1MHz-6GHz Assembled PORTAPACK H2 + HACKRF ONE + 5 ANTENNAS + DATA CABLE SDR SOFTWARE DEFINED 3.2INCH SCREEN 1MHZ-6GHZ ASSEMBLED,RKI-3501,34827.7,True,,2026-04-05 16:31:38
https://robokits.co.in/batteries-chargers/plugs-and-connectors/amass-xt60h-male-female-connector-with-housing,robokits,Amass XT60H Male-Female Connector with Housing Original (XT60H-M/F) AMASS XT60H MALE-FEMALE CONNECTOR WITH HOUSING,RKI-2851,55.46,True,,2026-04-05 16:31:38
https://robokits.co.in/batteries-chargers/accessories/plugs-and-connectors/amass-xt60-female-connector-original-xt60-f,robokits,Amass XT60 Female Connector Original (XT60-F) AMASS XT60 FEMALE CONNECTOR (ORIGINAL),RKI-2843,24.78,True,,2026-04-05 16:31:38
https://robokits.co.in/batteries-chargers/plugs-and-connectors/amass-xt60h-male-connector-with-housing-original,robokits,Amass XT60H Male Connector with Housing Original (XT60H-M) AMASS XT60H MALE CONNECTOR WITH HOUSING,RKI-2850,29.5,True,,2026-04-05 16:31:38
https://robokits.co.in/batteries-chargers/accessories/plugs-and-connectors/amass-xt60e-m-mountable-xt60-male-plug,robokits,AMASS XT60E-M Mountable XT60 Male Plug,RKI-2857,38.94,True,,2026-04-05 16:31:38
https://robokits.co.in/batteries-chargers/plugs-and-connectors/amass-xt60-male-connector-original,robokits,Amass XT60 Male Connector Original (XT60-M) AMASS XT60 MALE CONNECTOR (ORIGINAL),RKI-2842,27.14,True,,2026-04-05 16:31:39
https://robokits.co.in/multirotor-spare-parts/genx-uav-product/genx-h-rtk-septentrio-elite-mosaic-h-dual-antenna-heading-anti-jamming-anti-spoofing-gps-module,robokits,GenX H-RTK Septentrio Elite Mosaic-H (Dual Antenna Heading) Anti Jamming Anti Spoofing GPS Module,RKI-3320,100760.2,True,,2026-04-05 16:31:40
https://robokits.co.in/multirotor-spare-parts/gimbal-for-camera-drone/skydroid-c12-thermal-2k-hd-camera-with-dynamic-tracking-and-three-axis-gimbal,robokits,Skydroid C12 Thermal & 2K HD Camera with Dynamic Tracking and Three-Axis Gimbal,RKI-2925,43057.02,False,,2026-04-05 16:31:40
https://robokits.co.in/multirotor-spare-parts/flight-controller-and-frame/hpxgrc-h743-70a-esc,robokits,BLHeli-32 8S 70A 4-IN-1 ESC Drone for RC FPV Racing Drone,,3649.74,,,2026-04-05 16:31:40
https://robokits.co.in/multirotor-spare-parts/gps-sensors/genx-rtk-ublox-zed-f9p-tough-fly-tough-helical-antenna-rtk-gps-quad-constellation-gnss-module-for-drones,robokits,,RKI-3024,,True,,2026-04-05 16:31:41
https://robokits.co.in/multirotor-spare-parts/genx-uav-product/genx-ublox-zed-f9p-rtk-gnss-receiver-rover-base-module,robokits,GenX Ublox ZED-F9P RTK GNSS receiver Rover/Base module Make In INDIA,RKI-3321,18511.84,True,,2026-04-05 16:31:41
https://robokits.co.in/multirotor-spare-parts/gps-sensors/genx-rtk-ublox-zed-f9p-tough-ground-tough-survey-antenna-rtk-gps-quad-constellation-gnss-module-for-rtk-base-usb-interface,robokits,GenX RTK Ublox ZED-F9P Tough Ground (Tough + Survey Antenna) RTK GPS Quad-Constellation GNSS module for RTK Base USB interface GENX RTK F9P TOUGH GROUND (TOUGH + SURVEY ANTENNA) RTK GPS QUAD-CONSTELLATION GNSS MODULE FOR RTK BASE USB INTERFACE,RKI-3025,36661.42,True,,2026-04-05 16:31:41
https://robokits.co.in/multirotor-spare-parts/gimbal-for-camera-drone/skydroid-c13-three-light-30x-digital-zoom-day-light-640px-thermal-camera-ai-target-locking-with-gimbal,robokits,Skydroid C13 Three-Light 30X Digital Zoom Day Light & 640px Thermal Camera AI target locking with Gimbal Skydroid C13 Three-Light 30X Optical Zoom Day Light & 640px Thermal Camera AI target locking with Gimbal,RKI-1923,175815.28,False,,2026-04-05 16:31:41
https://robokits.co.in/motors/rhino-ig32-12v-10w-dc-motors/dc-geared-ig-12v-motor/rhino-12v-dc-20rpm-150kgcm-ig32-heavy-duty-planetary-geared-motor,robokits,Rhino 12V DC 20RPM 150Kgcm IG32 Heavy Duty Planetary Geared Motor [RMCS-3099],RMCS-3099,1414.82,False,,2026-04-05 16:31:42
https://robokits.co.in/multirotor-spare-parts/fpv-video-telemetry-camera/holybro-sik-telemetry-radio-v3-3dr-500mw-433mhz,robokits,HolyBro SiK Telemetry Radio V3 3DR 500mW 433MHz HOLYBRO SIK TELEMETRY RADIO V3 500MW 433MHZ,RKI-3497,6608.0,False,,2026-04-05 16:31:42
https://robokits.co.in/multirotor-spare-parts/fpv-video-telemetry-camera/adti-25-mm-aps-c-professional-mapping-camera-lens,robokits,ADTi 25 mm APS-C Professional Mapping Camera Lens ADTI 25 MM APS-C PROFESSIONAL MAPPING CAMERA LENS,RKI-3459,23798.24,False,,2026-04-05 16:31:43
https://robokits.co.in/multirotor-spare-parts/fpv-video-telemetry-camera/siyi-n7-autopilot-flight-controller-compatible-with-ardupilot-and-px4-ecosystem-m9n-gps-and-2-to-14s-power-module-for-drone-uav-ugv-usv-robotics,robokits,SIYI N7 Autopilot Flight Controller Compatible with Ardupilot and PX4 Ecosystem M9N GPS and 2 to 14S Power Module For Drone UAV UGV USV Robotics SIYI N7 AUTOPILOT FLIGHT CONTROLLER COMPATIBLE WITH ARDUPILOT AND PX4 ECOSYSTEM M9N GPS AND 2 TO 14S POWER MODULE FOR DRONE UAV UGV USV ROBOTICS,RKI-2917,29522.42,True,,2026-04-05 16:31:43
https://robokits.co.in/batteries-chargers/chargers/isdt-premium-chargers-original/isdt-fd-200-smart-discharger,robokits,ISDT FD-200 Smart Discharger,RKI-1806,6808.6,False,,2026-04-05 16:31:44
https://robokits.co.in/multirotor-spare-parts/radio-control-tx-rx/skydroid-g30-remote-control-gr03-2.4g5.8g-dual-band-10.1inch-hd-30km-long-range,robokits,Skydroid G30 Remote Control GR03 2.4G&5.8G Dual Band 10.1inch HD 30KM Long Range,RKI-6271,97189.52,False,,2026-04-05 16:31:44
https://robokits.co.in/batteries-chargers/chargers/isdt-premium-chargers-original/isdt-x16-dual-ac-2x1100w-2-16s-20a-smart-charger,robokits,ISDT - X16 Dual AC 2x1100W 2-16S 20A Smart Charger,RKI-1797,69857.18,True,,2026-04-05 16:31:44
https://robokits.co.in/multirotor-spare-parts/radio-control-tx-rx/skydroid-g30-remote-control-gr01-2.4g5.8g-dual-band-10.1inch-hd-30km-long-range,robokits,Skydroid G30 Remote Control GR01 2.4G&5.8G Dual Band 10.1inch HD 30KM Long Range,RKI-6270,81691.4,False,,2026-04-05 16:31:44
https://robokits.co.in/t-motor-parts/t-motor-drone-arm-set/standard/t-motor-mn601-s-kv170-alpha-60a-hv-mount-30mm-tube-combo,robokits,T-Motor MN601-S KV170 + Alpha 60A HV + Mount(30mm tube) Combo,RKI-5897,27420.84,True,,2026-04-05 16:31:45
